ParticipantID,Condition,Block,No.,TargetID,TargetNumber,W,A,TargetX,TargetY,TargetZ,EnterX,EnterY,EnterZ,ExitX,ExitY,ExitZ,TimeTrialStart,TimeEnterTarget,TimeExitTarget
P,ConditionA,1,1,0,0,0.30,0.35,0.300,-0.220,0.500,0.300,-0.220,0.500,0.300,-0.220,0.500,0.000,9.708,9.875
P,ConditionA,1,1,7,1,0.30,0.35,-0.291,-0.292,0.500,-0.291,-0.292,0.500,-0.291,-0.292,0.500,9.875,12.173,12.312
P,ConditionA,1,1,1,2,0.30,0.35,0.266,-0.081,0.500,0.266,-0.081,0.500,0.266,-0.081,0.500,12.312,13.982,14.108
P,ConditionA,1,1,8,3,0.30,0.35,-0.225,-0.419,0.500,-0.225,-0.419,0.500,-0.225,-0.419,0.500,14.108,17.672,17.783
P,ConditionA,1,1,2,4,0.30,0.35,0.170,0.027,0.500,0.170,0.027,0.500,0.170,0.027,0.500,17.783,21.110,21.250
P,ConditionA,1,1,9,5,0.30,0.35,-0.106,-0.501,0.500,-0.106,-0.501,0.500,-0.106,-0.501,0.500,21.250,23.338,23.477
P,ConditionA,1,1,3,6,0.30,0.35,0.036,0.078,0.500,0.036,0.078,0.500,0.036,0.078,0.500,23.477,25.607,25.774
P,ConditionA,1,1,10,7,0.30,0.35,0.036,-0.518,0.500,0.036,-0.518,0.500,0.036,-0.518,0.500,25.774,27.945,28.071
P,ConditionA,1,1,4,8,0.30,0.35,-0.106,0.061,0.500,-0.106,0.061,0.500,-0.106,0.061,0.500,28.071,29.575,29.714
P,ConditionA,1,1,11,9,0.30,0.35,0.170,-0.467,0.500,0.170,-0.467,0.500,0.170,-0.467,0.500,29.714,32.443,32.583
P,ConditionA,1,1,5,10,0.30,0.35,-0.225,-0.021,0.500,-0.225,-0.021,0.500,-0.225,-0.021,0.500,32.583,39.015,39.111
P,ConditionA,1,1,12,11,0.30,0.35,0.266,-0.359,0.500,0.266,-0.359,0.500,0.266,-0.359,0.500,39.111,40.907,41.074
P,ConditionA,1,1,6,12,0.30,0.35,-0.291,-0.148,0.500,-0.291,-0.148,0.500,-0.291,-0.148,0.500,41.074,45.404,45.613
P,ConditionA,1,1,0,0,0.30,0.35,0.300,-0.220,0.500,0.300,-0.220,0.500,0.300,-0.220,0.500,0.000,26.221,26.389
P,ConditionA,1,1,7,1,0.30,0.35,-0.291,-0.292,0.500,-0.291,-0.292,0.500,-0.291,-0.292,0.500,26.389,28.059,28.156
P,ConditionA,1,1,1,2,0.30,0.35,0.266,-0.081,0.500,0.266,-0.081,0.500,0.266,-0.081,0.500,28.156,29.687,29.826
P,ConditionA,1,1,8,3,0.30,0.35,-0.225,-0.419,0.500,-0.225,-0.419,0.500,-0.225,-0.419,0.500,29.826,32.430,32.555
P,ConditionA,1,1,2,4,0.30,0.35,0.170,0.027,0.500,0.170,0.027,0.500,0.170,0.027,0.500,32.555,34.156,34.254
P,ConditionA,1,1,9,5,0.30,0.35,-0.106,-0.501,0.500,-0.106,-0.501,0.500,-0.106,-0.501,0.500,34.254,35.924,36.049
P,ConditionA,1,1,3,6,0.30,0.35,0.036,0.078,0.500,0.036,0.078,0.500,0.036,0.078,0.500,36.049,37.762,37.860
P,ConditionA,1,1,10,7,0.30,0.35,0.036,-0.518,0.500,0.036,-0.518,0.500,0.036,-0.518,0.500,37.860,39.683,39.794
P,ConditionA,1,1,4,8,0.30,0.35,-0.106,0.061,0.500,-0.106,0.061,0.500,-0.106,0.061,0.500,39.794,41.786,41.925
P,ConditionA,1,1,11,9,0.30,0.35,0.170,-0.467,0.500,0.170,-0.467,0.500,0.170,-0.467,0.500,41.925,43.985,44.194
P,ConditionA,1,1,5,10,0.30,0.35,-0.225,-0.021,0.500,-0.225,-0.021,0.500,-0.225,-0.021,0.500,44.194,46.561,46.686
P,ConditionA,1,1,12,11,0.30,0.35,0.266,-0.359,0.500,0.266,-0.359,0.500,0.266,-0.359,0.500,46.686,47.981,48.148
P,ConditionA,1,1,6,12,0.30,0.35,-0.291,-0.148,0.500,-0.291,-0.148,0.500,-0.291,-0.148,0.500,48.148,50.389,50.486
P,ConditionA,1,1,0,0,0.30,0.35,0.300,-0.220,0.500,0.300,-0.220,0.500,0.300,-0.220,0.500,0.000,57.113,57.215
P,ConditionA,1,1,7,1,0.30,0.35,-0.291,-0.292,0.500,-0.291,-0.292,0.500,-0.291,-0.292,0.500,57.215,60.538,60.636
P,ConditionA,1,1,1,2,0.30,0.35,0.266,-0.081,0.500,0.266,-0.081,0.500,0.266,-0.081,0.500,60.636,63.545,63.642
P,ConditionA,1,1,8,3,0.30,0.35,-0.225,-0.419,0.500,-0.225,-0.419,0.500,-0.225,-0.419,0.500,63.642,66.371,66.468
P,ConditionA,1,1,2,4,0.30,0.35,0.170,0.027,0.500,0.170,0.027,0.500,0.170,0.027,0.500,66.468,68.473,68.612
P,ConditionA,1,1,9,5,0.30,0.35,-0.106,-0.501,0.500,-0.106,-0.501,0.500,-0.106,-0.501,0.500,68.612,70.910,71.048
P,ConditionA,1,1,3,6,0.30,0.35,0.036,0.078,0.500,0.036,0.078,0.500,0.036,0.078,0.500,71.048,73.847,73.972
P,ConditionA,1,1,10,7,0.30,0.35,0.036,-0.518,0.500,0.036,-0.518,0.500,0.036,-0.518,0.500,73.972,77.147,77.313
P,ConditionA,1,1,4,8,0.30,0.35,-0.106,0.061,0.500,-0.106,0.061,0.500,-0.106,0.061,0.500,77.313,80.502,80.668
P,ConditionA,1,1,11,9,0.30,0.35,0.170,-0.467,0.500,0.170,-0.467,0.500,0.170,-0.467,0.500,80.668,83.133,83.244
P,ConditionA,1,1,5,10,0.30,0.35,-0.225,-0.021,0.500,-0.225,-0.021,0.500,-0.225,-0.021,0.500,83.244,85.806,85.945
P,ConditionA,1,1,12,11,0.30,0.35,0.266,-0.359,0.500,0.266,-0.359,0.500,0.266,-0.359,0.500,85.945,88.173,88.312
P,ConditionA,1,1,6,12,0.30,0.35,-0.291,-0.148,0.500,-0.291,-0.148,0.500,-0.291,-0.148,0.500,88.312,90.581,90.734
P,ConditionA,1,1,0,0,0.30,0.35,0.300,-0.220,0.500,0.300,-0.220,0.500,0.300,-0.220,0.500,0.000,36.303,36.443
P,ConditionA,1,1,7,1,0.30,0.35,-0.291,-0.292,0.500,-0.291,-0.292,0.500,-0.291,-0.292,0.500,36.443,37.375,37.500
P,ConditionA,1,1,1,2,0.30,0.35,0.266,-0.081,0.500,0.266,-0.081,0.500,0.266,-0.081,0.500,37.500,38.600,38.739
P,ConditionA,1,1,8,3,0.30,0.35,-0.225,-0.419,0.500,-0.225,-0.419,0.500,-0.225,-0.419,0.500,38.739,39.644,39.769
P,ConditionA,1,1,2,4,0.30,0.35,0.170,0.027,0.500,0.170,0.027,0.500,0.170,0.027,0.500,39.769,40.772,40.911
P,ConditionA,1,1,9,5,0.30,0.35,-0.106,-0.501,0.500,-0.106,-0.501,0.500,-0.106,-0.501,0.500,40.911,41.711,41.843
P,ConditionA,1,1,3,6,0.30,0.35,0.036,0.078,0.500,0.036,0.078,0.500,0.036,0.078,0.500,41.843,42.609,42.706
